mode,metric,samples,mean,ci95_low,ci95_high
gather-robust,nrmse,5,0.487707480120776,0.4543696200864421,0.52104534015511
gather-robust,log_luma_mae,5,0.03822457283735275,0.03798612599905362,0.038463019675651876
gather-robust,luminance_bias,5,-0.0007515224095550365,-0.0021716087403916007,0.0006685639212815279
gather-robust,masked_nonfinite_rate,5,0.0,0.0,0.0
gather-robust,full_nonfinite_rate,5,0.0,0.0,0.0
scatter-only,nrmse,5,0.8811412616390036,0.8710834844006045,0.8911990388774028
scatter-only,log_luma_mae,5,0.09343042656779289,0.09264918945634439,0.0942116636792414
scatter-only,luminance_bias,5,-0.0010757403244133457,-0.0023827676798359896,0.00023128703100929794
scatter-only,masked_nonfinite_rate,5,0.0,0.0,0.0
scatter-only,full_nonfinite_rate,5,0.0,0.0,0.0
scatter-backup,nrmse,5,0.6008056552366189,0.5388644652430131,0.6627468452302246
scatter-backup,log_luma_mae,5,0.05159995995461941,0.05120482838717954,0.051995091522059285
scatter-backup,luminance_bias,5,-0.0002622600932045316,-0.0012386555613630385,0.0007141353749539752
scatter-backup,masked_nonfinite_rate,5,0.0,0.0,0.0
scatter-backup,full_nonfinite_rate,5,0.0,0.0,0.0
