frame,mask_pixels,nrmse,log_luma_mae,luminance_bias,masked_nonfinite_rate,full_nonfinite_rate
8,1776,0.02577245532973062,0.0030533054377883673,-5.9884772781515494e-05,0.0,0.0
17,2805,0.027094781120627996,0.002850795164704323,-0.00018729774456005543,0.0,0.0
26,2922,0.030322814514557168,0.003031619358807802,-3.552229463821277e-05,0.0,0.0
35,1197,0.024325948015231774,0.0046033975668251514,0.00021871451463084668,0.0,0.0
44,3093,0.02613802512719979,0.0027944070752710104,-1.3953718735137954e-05,0.0,0.0
53,2223,0.024942515435453214,0.0034229157026857138,-0.0001707052142592147,0.0,0.0
62,2448,0.02695674112393483,0.0036153325345367193,-9.84054640866816e-05,0.0,0.0
71,2976,0.028704456290439127,0.003945135977119207,2.4820983526296914e-05,0.0,0.0
80,2675,0.029102011107548023,0.004086456727236509,9.96190938167274e-05,0.0,0.0
89,3027,0.031141893921100162,0.004284575115889311,4.698328848462552e-05,0.0,0.0
