position_threshold,mode,metric,mean,ci95_low,ci95_high
0.01,gather-robust,nrmse,0.487707480120776,0.4543696200864421,0.52104534015511
0.01,gather-robust,log_luma_mae,0.03822457283735275,0.03798612599905362,0.038463019675651876
0.01,scatter-only,nrmse,0.8811412616390036,0.8710834844006045,0.8911990388774028
0.01,scatter-only,log_luma_mae,0.09343042656779289,0.09264918945634439,0.0942116636792414
0.01,scatter-backup,nrmse,0.6008056552366189,0.5388644652430131,0.6627468452302246
0.01,scatter-backup,log_luma_mae,0.05159995995461941,0.05120482838717954,0.051995091522059285
0.02,gather-robust,nrmse,0.47735207501223503,0.4410539929282037,0.5136501570962664
0.02,gather-robust,log_luma_mae,0.038534710295498376,0.03820247746828069,0.03886694312271606
0.02,scatter-only,nrmse,0.8728366756318617,0.8616565790513353,0.8840167722123882
0.02,scatter-only,log_luma_mae,0.09568896681070328,0.09475697895156647,0.0966209546698401
0.02,scatter-backup,nrmse,0.5965244894383045,0.5294058241549466,0.6636431547216624
0.02,scatter-backup,log_luma_mae,0.05265633091330528,0.052211987751365534,0.053100674075245026
0.04,gather-robust,nrmse,0.4745008387435843,0.43419997998844817,0.5148016974987204
0.04,gather-robust,log_luma_mae,0.038457302451133726,0.03807672166076492,0.03883788324150253
0.04,scatter-only,nrmse,0.8658587089877434,0.8547337885763634,0.8769836293991234
0.04,scatter-only,log_luma_mae,0.09601031437516212,0.09511162910374843,0.09690899964657582
0.04,scatter-backup,nrmse,0.5927356642482489,0.5231004866419874,0.6623708418545103
0.04,scatter-backup,log_luma_mae,0.05266265042126178,0.05226946973138761,0.05305583111113595
