frame,mae
0,0.0106042
1,0.0110541
2,0.0119027
3,0.0126422
4,0.0129994
5,0.0131597
6,0.0132841
7,0.0132809
8,0.0134111
9,0.0134409
10,0.013586
11,0.0136295
12,0.0135908
13,0.0136199
14,0.0136905
15,0.0137035
16,0.0137413
17,0.0138079
18,0.0137966
19,0.013784
20,0.0138341
21,0.0138463
22,0.0138007
23,0.0137943
24,0.0138006
25,0.0138089
26,0.0138028
27,0.0137796
28,0.0137826
29,0.0138171
30,0.0138236
31,0.0138204
32,0.0137978
33,0.0138302
34,0.0138025
35,0.0138319
36,0.0138234
37,0.0138057
38,0.0138424
39,0.0138479
40,0.0138379
41,0.0138502
42,0.0138355
43,0.0138415
44,0.0139069
45,0.0138759
46,0.0138039
47,0.0138334
48,0.0138288
49,0.0138314
50,0.0138345
51,0.0139065
52,0.0138768
53,0.0138204
54,0.0138697
55,0.0138879
56,0.0138496
57,0.0137617
58,0.0137884
59,0.0137815
60,0.0137992
61,0.0137876
62,0.0138224
63,0.0137835
64,0.0138173
65,0.0137534
66,0.0137241
67,0.013719
68,0.0137159
69,0.0137019
70,0.0136421
71,0.0136704
72,0.0136627
73,0.0136266
74,0.0136122
75,0.0136061
76,0.0135958
77,0.0136318
78,0.0136572
79,0.0136024
80,0.0135666
81,0.0135601
82,0.0135406
83,0.0135041
84,0.0135133
85,0.013434
86,0.0134209
87,0.0134319
88,0.0133937
89,0.0133963
